State,County Name,IECC Climate Zone
AK,Aleutians East,7
AK,Aleutians West,7
AK,Anchorage,7
AK,Bethel,8
AK,Bristol Bay,7
AK,Denali,7
AK,Dillingham,8
AK,Fairbanks North Star,8
AK,Haines,7
AK,Hoonah-Angoon,7
AK,Juneau,7
AK,Kenai Peninsula,7
AK,Ketchikan Gateway,7
AK,Kodiak Island,7
AK,Kusilvak,8
AK,Lake and Peninsula,7
AK,Matanuska-Susitna,7
AK,Nome,8
AK,North Slope,8
AK,Northwest Arctic,8
AK,Petersburg,7
AK,Prince of Wales-Hyder,7
AK,Sitka,7
AK,Skagway,7
AK,Southeast Fairbanks,8
AK,Valdez-Cordova,7
AK,Wrangell,7
AK,Yakutat,7
AK,Yukon-Koyukuk,8
AL,Autauga,3
AL,Baldwin,2
AL,Barbour,3
AL,Bibb,3
AL,Blount,3
AL,Bullock,3
AL,Butler,3
AL,Calhoun,3
AL,Chambers,3
AL,Cherokee,3
AL,Chilton,3
AL,Choctaw,3
AL,Clarke,3
AL,Clay,3
AL,Cleburne,3
AL,Coffee,3
AL,Colbert,3
AL,Conecuh,3
AL,Coosa,3
AL,Covington,3
AL,Crenshaw,3
AL,Cullman,3
AL,Dale,3
AL,Dallas,3
AL,DeKalb,3
AL,Elmore,3
AL,Escambia,3
AL,Etowah,3
AL,Fayette,3
AL,Franklin,3
AL,Geneva,3
AL,Greene,3
AL,Hale,3
AL,Henry,3
AL,Houston,3
AL,Jackson,3
AL,Jefferson,3
AL,Lamar,3
AL,Lauderdale,3
AL,Lawrence,3
AL,Lee,3
AL,Limestone,3
AL,Lowndes,3
AL,Macon,3
AL,Madison,3
AL,Marengo,3
AL,Marion,3
AL,Marshall,3
AL,Mobile,2
AL,Monroe,3
AL,Montgomery,3
AL,Morgan,3
AL,Perry,3
AL,Pickens,3
AL,Pike,3
AL,Randolph,3
AL,Russell,3
AL,Shelby,3
AL,St. Clair,3
AL,Sumter,3
AL,Talladega,3
AL,Tallapoosa,3
AL,Tuscaloosa,3
AL,Walker,3
AL,Washington,3
AL,Wilcox,3
AL,Winston,3
AR,Arkansas,3
AR,Ashley,3
AR,Baxter,4
AR,Benton,4
AR,Boone,4
AR,Bradley,3
AR,Calhoun,3
AR,Carroll,4
AR,Chicot,3
AR,Clark,3
AR,Clay,3
AR,Cleburne,3
AR,Cleveland,3
AR,Columbia,3
AR,Conway,3
AR,Craighead,3
AR,Crawford,3
AR,Crittenden,3
AR,Cross,3
AR,Dallas,3
AR,Desha,3
AR,Drew,3
AR,Faulkner,3
AR,Franklin,3
AR,Fulton,4
AR,Garland,3
AR,Grant,3
AR,Greene,3
AR,Hempstead,3
AR,Hot Spring,3
AR,Howard,3
AR,Independence,3
AR,Izard,4
AR,Jackson,3
AR,Jefferson,3
AR,Johnson,3
AR,Lafayette,3
AR,Lawrence,3
AR,Lee,3
AR,Lincoln,3
AR,Little River,3
AR,Logan,3
AR,Lonoke,3
AR,Madison,4
AR,Marion,4
AR,Miller,3
AR,Mississippi,3
AR,Monroe,3
AR,Montgomery,3
AR,Nevada,3
AR,Newton,4
AR,Ouachita,3
AR,Perry,3
AR,Phillips,3
AR,Pike,3
AR,Poinsett,3
AR,Polk,3
AR,Pope,3
AR,Prairie,3
AR,Pulaski,3
AR,Randolph,3
AR,Saline,3
AR,Scott,3
AR,Searcy,4
AR,Sebastian,3
AR,Sevier,3
AR,Sharp,3
AR,St. Francis,3
AR,Stone,4
AR,Union,3
AR,Van Buren,3
AR,Washington,4
AR,White,3
AR,Woodruff,3
AR,Yell,3
AS,Eastern District,1
AS,Manu'a District,1
AS,Rose Island,1
AS,Swains Island,1
AS,Western District,1
AZ,Apache,5
AZ,Cochise,3
AZ,Coconino,5
AZ,Gila,4
AZ,Graham,3
AZ,Greenlee,3
AZ,La Paz,2
AZ,Maricopa,2
AZ,Mohave,3
AZ,Navajo,5
AZ,Pima,2
AZ,Pinal,2
AZ,Santa Cruz,3
AZ,Yavapai,4
AZ,Yuma,2
CA,Alameda,3
CA,Alpine,6
CA,Amador,4
CA,Butte,3
CA,Calaveras,4
CA,Colusa,3
CA,Contra Costa,3
CA,Del Norte,4
CA,El Dorado,4
CA,Fresno,3
CA,Glenn,3
CA,Humboldt,4
CA,Imperial,2
CA,Inyo,4
CA,Kern,3
CA,Kings,3
CA,Lake,4
CA,Lassen,5
CA,Los Angeles,3
CA,Madera,3
CA,Marin,3
CA,Mariposa,4
CA,Mendocino,3
CA,Merced,3
CA,Modoc,5
CA,Mono,6
CA,Monterey,3
CA,Napa,3
CA,Nevada,5
CA,Orange,3
CA,Placer,3
CA,Plumas,5
CA,Riverside,3
CA,Sacramento,3
CA,San Benito,3
CA,San Bernardino,3
CA,San Diego,3
CA,San Francisco,3
CA,San Joaquin,3
CA,San Luis Obispo,3
CA,San Mateo,3
CA,Santa Barbara,3
CA,Santa Clara,3
CA,Santa Cruz,3
CA,Shasta,3
CA,Sierra,5
CA,Siskiyou,5
CA,Solano,3
CA,Sonoma,3
CA,Stanislaus,3
CA,Sutter,3
CA,Tehama,3
CA,Trinity,4
CA,Tulare,3
CA,Tuolumne,4
CA,Ventura,3
CA,Yolo,3
CA,Yuba,3
CO,Adams,5
CO,Alamosa,6
CO,Arapahoe,5
CO,Archuleta,6
CO,Baca,4
